,activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value,action_type,canonical_smiles,mechanism_of_action,tid
0,819648,38,4567,189171,577488,=,1680.0,nM,1,Kd,,,0,5.78,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Kd,=,1.68,uM,,,,,70S ribosome inhibitor,106001.0
1,514964,39,3782,65947,577488,=,2110.0,nM,1,Kd,,,0,5.68,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Kd,=,2.11,uM,,,,,70S ribosome inhibitor,106001.0
2,514965,40,3782,65947,577488,=,1680.0,nM,1,Kd,,,0,5.78,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Kd,=,1.68,uM,,,,,70S ribosome inhibitor,106001.0
3,1043224,41,4466,25479,577488,=,1500.0,nM,1,Kd,,,0,5.82,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Kd,=,1.5,uM,,,,,70S ribosome inhibitor,106001.0
4,1061972,41,4466,25480,325238,=,1400.0,nM,1,Kd,,,0,5.85,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Kd,=,1.4,uM,,,,,Bacterial 70S ribosome inhibitor,105830.0
5,1259961,42,6592,315802,470033,~,1000000.0,nM,1,Kd,,Outside typical range,0,,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Kd,~,1.0,mM,,,,,Supplement,
6,211308,48,10691,145875,255904,=,6000.0,nM,1,IC50,,,0,5.22,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,6.0,uM,,,,,Cytochrome P450 51 inhibitor,58.0
7,211306,49,10691,145875,255904,=,62.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,62.0,%,,,,,Cytochrome P450 51 inhibitor,58.0
8,131158,55,15103,224213,21459,=,0.06,,0,Selectivity ratio,,,0,,BAO_0002136,,,,,,1,Selectivity ratio,=,0.06,,,,,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,Opioid receptors; mu/kappa/delta antagonist,104765.0
9,1125240,157,16992,109449,522894,=,0.123,nM,1,Ki,,,0,9.91,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pKi,=,9.91,,,,,,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,104283.0
10,66522,187,16587,238576,454298,=,330.0,nM,1,IC50,,,0,6.48,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,330.0,nM,,,,,11-beta-hydroxysteroid dehydrogenase inhibitor,109696.0
11,66521,189,16587,238576,454298,=,108.0,nM,1,IC50,,,0,6.97,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,108.0,nM,,,,,11-beta-hydroxysteroid dehydrogenase inhibitor,109696.0
12,66523,190,16587,238576,454298,=,83.0,nM,1,IC50,,,0,7.08,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,83.0,nM,,,,,11-beta-hydroxysteroid dehydrogenase inhibitor,109696.0
13,764641,303,12092,232331,1376048,=,960.0,nM,1,Ki,,,0,6.02,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,960.0,nM,,,,,Serotonin 3 (5-HT3) receptor antagonist,105029.0
14,779166,303,12092,232333,3183,=,1200.0,nM,1,Ki,,,0,5.92,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,1200.0,nM,,,,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,Serotonin 3a (5-HT3a) receptor antagonist,144.0
15,892210,306,11126,146489,63252,=,100.0,,0,RCI,,,0,,BAO_0000179,,,,,,1,RCI,=,100.0,,,,,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Vitamin D receptor agonist,64.0
16,892213,310,11126,146489,63252,=,2.1,pM 10min-1,0,Activity,,,0,,BAO_0000181,,,,,,1,Activity,=,2.1,pM 10min-1,,,,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Vitamin D receptor agonist,64.0
17,892214,311,11126,146489,63252,=,12.0,%,0,Control,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Control,=,12.0,%,,,,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Vitamin D receptor agonist,64.0
